Date,Close
2017-05-01,816.28
2017-06-01,824.19
2017-07-01,890.22
2017-08-01,886.25
2017-09-01,900.84
2017-10-01,902.24
2017-11-01,924.79
2017-12-01,934.12
2018-01-01,1000.62
2018-02-01,940.01
2018-03-01,940.96
2018-04-01,969.99
2018-05-01,1067.35
2018-06-01,1051.88
2018-07-01,1087.33
2018-08-01,1028.31
2018-09-01,1000.8
2018-10-01,953.75
2018-11-01,1061.86
2018-12-01,1058.49
2019-01-01,1037.67
2019-02-01,1036.47
2019-03-01,1156.88
2019-04-01,1156.15
2019-05-01,1209.98
2019-06-01,1219.16
2019-07-01,1123.32
2019-08-01,1113.97
2019-09-01,1227.45
2019-10-01,1230.35
2019-11-01,1274.95
2019-12-01,1272.1
2020-01-01,1226.3
2020-02-01,1177.65
2020-03-01,861.9
2020-04-01,1001.8
2020-05-01,951.65
2020-06-01,1065.85
2020-07-01,1032.8
2020-08-01,1115.85
2020-09-01,1078.6
2020-10-01,1183.55
2020-11-01,1440.85
2020-12-01,1436.3
2021-01-01,1390.5
2021-02-01,1534.4
2021-03-01,1493.65
2021-04-01,1412.3
2021-05-01,1515.85
2021-06-01,1497.9
2021-07-01,1426.45
2021-08-01,1581.4
2021-09-01,1594.95
2021-10-01,1582.85
2021-11-01,1493.55
2021-12-01,1479.4
2022-01-01,1485.7
2022-02-01,1426.25
2022-03-01,1470.35
2022-04-01,1384.6
2022-05-01,1388.95
