Date,Close
2017-05-01,177.0
2017-06-01,157.3
2017-07-01,169.4
2017-08-01,156.95
2017-09-01,170.95
2017-10-01,191.1
2017-11-01,180.65
2017-12-01,195.2
2018-01-01,203.45
2018-02-01,188.3
2018-03-01,177.8
2018-04-01,180.55
2018-05-01,177.9
2018-06-01,158.4
2018-07-01,165.7
2018-08-01,180.05
2018-09-01,177.2
2018-10-01,153.25
2018-11-01,140.3
2018-12-01,149.9
2019-01-01,141.25
2019-02-01,148.65
2019-03-01,159.75
2019-04-01,169.2
2019-05-01,171.95
2019-06-01,167.75
2019-07-01,138.85
2019-08-01,121.2
2019-09-01,131.8
2019-10-01,141.7
2019-11-01,131.75
2019-12-01,128.8
2020-01-01,108.95
2020-02-01,91.95
2020-03-01,68.3
2020-04-01,79.9
2020-05-01,83.2
2020-06-01,81.35
2020-07-01,78.3
2020-08-01,81.95
2020-09-01,69.25
2020-10-01,64.9
2020-11-01,78.5
2020-12-01,93.05
2021-01-01,88.3
2021-02-01,111.0
2021-03-01,102.15
2021-04-01,108.15
2021-05-01,113.65
2021-06-01,117.7
2021-07-01,115.3
2021-08-01,120.55
2021-09-01,144.5
2021-10-01,149.05
2021-11-01,142.1
2021-12-01,142.4
2022-01-01,172.6
2022-02-01,160.65
2022-03-01,163.9
2022-04-01,160.45
2022-05-01,151.25
